,date,index
0,2021-06-29,2395
1,2021-06-30,2263
2,2021-07-01,1787
3,2021-07-02,1878
4,2021-07-03,1894
5,2021-07-04,2024
6,2021-07-05,2005
7,2021-07-06,1807
8,2021-07-07,1720
9,2021-07-08,1490
10,2021-07-09,1193
11,2021-07-10,1193
12,2021-07-11,1177
13,2021-07-12,1221
14,2021-07-13,1282
15,2021-07-14,1258
16,2021-07-15,1208
17,2021-07-16,1171
18,2021-07-17,1157
19,2021-07-18,1276
20,2021-07-19,1252
21,2021-07-20,1790
22,2021-07-21,2016
23,2021-07-22,1961
24,2021-07-23,1496
25,2021-07-24,1591
26,2021-07-25,1608
27,2021-07-26,1404
28,2021-07-27,1200
29,2021-07-28,1156
30,2021-07-29,1113
31,2021-07-30,1136
32,2021-07-31,1094
33,2021-08-01,1076
34,2021-08-02,1101
35,2021-08-03,1135
36,2021-08-04,1099
37,2021-08-05,1082
38,2021-08-06,1094
39,2021-08-07,1062
40,2021-08-08,1054
41,2021-08-09,1112
42,2021-08-10,1101
43,2021-08-11,1128
44,2021-08-12,1106
45,2021-08-13,1097
46,2021-08-14,1090
47,2021-08-15,1069
48,2021-08-16,1085
49,2021-08-17,1098
50,2021-08-18,1122
51,2021-08-19,1115
52,2021-08-20,1130
53,2021-08-21,1323
54,2021-08-22,1226
55,2021-08-23,1203
56,2021-08-24,1186
57,2021-08-25,1127
58,2021-08-26,1149
59,2021-08-27,1084
60,2021-08-28,1131
61,2021-08-29,1157
62,2021-08-30,1191
63,2021-08-31,1153
64,2021-09-01,1111
65,2021-09-02,1095
66,2021-09-03,1093
67,2021-09-04,1129
68,2021-09-05,1154
69,2021-09-06,1165
70,2021-09-07,1139
71,2021-09-08,1663
72,2021-09-09,1082
73,2021-09-10,1137
74,2021-09-11,1122
75,2021-09-12,1106
76,2021-09-13,1101
77,2021-09-14,1134
78,2021-09-15,1160
79,2021-09-16,1180
80,2021-09-17,1270
81,2021-09-18,1394
82,2021-09-19,1188
83,2021-09-20,1162
84,2021-09-21,1206
85,2021-09-22,1250
86,2021-09-23,1213
87,2021-09-24,1229
88,2021-09-25,1082
89,2021-09-26,1072
90,2021-09-27,1034
91,2021-09-28,1290
92,2021-09-29,1108
93,2021-09-30,1045
94,2021-10-01,1082
95,2021-10-02,1063
96,2021-10-03,1042
97,2021-10-04,1052
98,2021-10-05,1081
99,2021-10-06,1063
100,2021-10-07,930
101,2021-10-08,1051
102,2021-10-09,911
103,2021-10-10,906
104,2021-10-11,920
105,2021-10-12,807
106,2021-10-13,761
107,2021-10-14,758
108,2021-10-15,930
109,2021-10-16,980
110,2021-10-17,1007
111,2021-10-18,909
112,2021-10-19,780
113,2021-10-20,847
114,2021-10-21,756
115,2021-10-22,872
116,2021-10-23,957
117,2021-10-24,887
118,2021-10-25,825
119,2021-10-26,817
120,2021-10-27,731
121,2021-10-28,678
122,2021-10-29,819
123,2021-10-30,748
124,2021-10-31,760
125,2021-11-01,717
126,2021-11-02,728
127,2021-11-03,709
128,2021-11-04,737
129,2021-11-05,797
130,2021-11-06,748
131,2021-11-07,725
132,2021-11-08,716
133,2021-11-09,705
134,2021-11-10,722
135,2021-11-11,730
136,2021-11-12,768
137,2021-11-13,877
138,2021-11-14,751
139,2021-11-15,751
140,2021-11-16,843
141,2021-11-17,762
142,2021-11-18,949
143,2021-11-19,882
144,2021-11-20,932
145,2021-11-21,856
146,2021-11-22,770
147,2021-11-23,778
148,2021-11-24,749
149,2021-11-25,783
150,2021-11-26,930
151,2021-11-27,994
152,2021-11-28,846
153,2021-11-29,870
154,2021-11-30,840
155,2021-12-01,868
156,2021-12-02,708
157,2021-12-03,846
158,2021-12-04,919
159,2021-12-05,873
160,2021-12-06,853
161,2021-12-07,841
162,2021-12-08,814
163,2021-12-09,914
164,2021-12-10,930
165,2021-12-11,871
166,2021-12-12,827
167,2021-12-13,796
168,2021-12-14,732
169,2021-12-15,779
170,2021-12-16,791
171,2021-12-17,849
172,2021-12-18,807
173,2021-12-19,777
174,2021-12-20,770
175,2021-12-21,724
176,2021-12-22,838
177,2021-12-23,812
178,2021-12-24,868
179,2021-12-25,841
180,2021-12-26,888
181,2021-12-27,883
182,2021-12-28,852
183,2021-12-29,779
184,2021-12-30,761
185,2021-12-31,901
186,2022-01-01,1000
187,2021-06-29,439
188,2021-06-30,425
189,2021-07-01,371
190,2021-07-02,399
191,2021-07-03,330
192,2021-07-04,358
193,2021-07-05,420
194,2021-07-06,367
195,2021-07-07,377
196,2021-07-08,346
197,2021-07-09,239
198,2021-07-10,237
